,Store,Dept,Weekly_Sales,IsHoliday,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
Store,1.0,0.024003667518133907,-0.08519499183241551,-0.00054798800339438,-0.18288146007993056,-0.05009694305761188,0.06529017268854716,-0.11958789095972049,-0.03517274089304609,-0.03155553943064843,-0.009940742734034362,-0.026634012224245038,-0.21108778320905092,0.20855168377216857
Dept,0.024003667518133907,1.0,0.1480320600130445,0.0009161019048196738,-0.0029664586701259256,0.004436524252380749,0.0035719815101905167,-0.0024264096222939772,0.0002904901014052445,0.0017840051389065037,0.0042566473717330165,0.00010859879218499651,-0.007477386420242853,0.007836770964278776
Weekly_Sales,-0.08519499183241551,0.1480320600130445,1.0,0.012774220374854022,0.24382799226304594,-0.002312447010260139,-0.00012029554500368756,0.08525115648106962,0.024129610651027884,0.06038476038857834,0.04541440291265391,0.09036206126433485,-0.02092133531882251,-0.025863716499838672
IsHoliday,-0.00054798800339438,0.0009161019048196738,0.012774220374854022,1.0,0.0005930379491881132,-0.15594855884126876,-0.07828113721077533,-0.03558645222146753,0.3348183000820011,0.42796030351287523,-0.0005618071489492972,-0.05371930060066768,-0.0019435108751030608,0.010459543585733476
Size,-0.18288146007993056,-0.0029664586701259256,0.24382799226304594,0.0005930379491881132,1.0,-0.058312939954160266,0.003361189759855163,0.34567267256615974,0.1088267962757261,0.04891268958113579,0.1681963794107362,0.30457504472991326,-0.003314357528314509,-0.0682382537296798
Temperature,-0.05009694305761188,0.004436524252380749,-0.002312447010260139,-0.15594855884126876,-0.058312939954160266,1.0,0.14385881912448092,-0.04059422468470386,-0.3239269235291385,-0.09687978837887533,-0.06394653187151793,-0.017544194067261883,0.18211160744588928,0.0967301803033489
Fuel_Price,0.06529017268854716,0.0035719815101905167,-0.00012029554500368756,-0.07828113721077533,0.003361189759855163,0.14385881912448092,1.0,0.06137076188816871,-0.2208952661522287,-0.10209162270186609,-0.04498602061040587,-0.12806522050840502,-0.1642104061539901,-0.033852702609042676
MarkDown1,-0.11958789095972049,-0.0024264096222939772,0.08525115648106962,-0.03558645222146753,0.34567267256615974,-0.04059422468470386,0.06137076188816871,1.0,0.024486205634377985,-0.10811512490543455,0.819238158563734,0.16025698280529807,-0.05555759286932064,0.05028527987897904
MarkDown2,-0.03517274089304609,0.0002904901014052445,0.024129610651027884,0.3348183000820011,0.1088267962757261,-0.3239269235291385,-0.2208952661522287,0.024486205634377985,1.0,-0.05010836615715447,-0.007767795729718726,-0.007439624026122991,-0.0395342876498741,0.020939858445236516
MarkDown3,-0.03155553943064843,0.0017840051389065037,0.06038476038857834,0.42796030351287523,0.04891268958113579,-0.09687978837887533,-0.10209162270186609,-0.10811512490543455,-0.05010836615715447,1.0,-0.07109546378699205,-0.026467408652528935,-0.023590301745322447,0.012817820504796443
MarkDown4,-0.009940742734034362,0.0042566473717330165,0.04541440291265391,-0.0005618071489492972,0.1681963794107362,-0.06394653187151793,-0.04498602061040587,0.819238158563734,-0.007767795729718726,-0.07109546378699205,1.0,0.10779182732624806,-0.04962838603380707,0.02496271193569711
MarkDown5,-0.026634012224245038,0.00010859879218499651,0.09036206126433485,-0.05371930060066768,0.30457504472991326,-0.017544194067261883,-0.12806522050840502,0.16025698280529807,-0.007439624026122991,-0.026467408652528935,0.10779182732624806,1.0,0.06062963278521752,-0.003842804511111081
CPI,-0.21108778320905092,-0.007477386420242853,-0.02092133531882251,-0.0019435108751030608,-0.003314357528314509,0.18211160744588928,-0.1642104061539901,-0.05555759286932064,-0.0395342876498741,-0.023590301745322447,-0.04962838603380707,0.06062963278521752,1.0,-0.29995301843900596
Unemployment,0.20855168377216857,0.007836770964278776,-0.025863716499838672,0.010459543585733476,-0.0682382537296798,0.0967301803033489,-0.033852702609042676,0.05028527987897904,0.020939858445236516,0.012817820504796443,0.02496271193569711,-0.003842804511111081,-0.29995301843900596,1.0
